id,title,link,score,review
50,번지 점프를 하다,https://movie.naver.com/movie/point/af/list.naver?st=mcode&sword=30796&target=after,10,이병헌의 젊은날이 보고싶어 다시 보는 번지점프..또 다시 눈물 줄줄 ...이병헌은 더이상 나이들지 않고 세월이 비켜갔으면..아름다운 고 이은주 배우님'20년전 그떄의 나의 젊음도 모두다 그리운 추억
51,베놈 2: 렛 데어 비 카니지,https://movie.naver.com/movie/point/af/list.naver?st=mcode&sword=187323&target=after,6,스토리나 그래픽이나 전작과 큰 차이가 없음
52,듄,https://movie.naver.com/movie/point/af/list.naver?st=mcode&sword=191559&target=after,8,기본적인 배경지식을 알고 보았을때 그 재미가 배가 되는 영화
53,배꼽,https://movie.naver.com/movie/point/af/list.naver?st=mcode&sword=69316&target=after,2,....snsuenxbd
54,크리스마스에는 행복이,https://movie.naver.com/movie/point/af/list.naver?st=mcode&sword=191558&target=after,10,따뜻한 영화가 보고 싶었는데 딱이네요.감동과 재미가 있는 가족영화~
55,듄,https://movie.naver.com/movie/point/af/list.naver?st=mcode&sword=191559&target=after,8,첫 시작이라 초반에 다소 지루할수 있음 그러나 영상미와 사운드는 모든것을 압도함
56,베놈 2: 렛 데어 비 카니지,https://movie.naver.com/movie/point/af/list.naver?st=mcode&sword=187323&target=after,9,난 잼나던데 애들도 좋아하고
57,위대한 쇼맨,https://movie.naver.com/movie/point/af/list.naver?st=mcode&sword=106360&target=after,10,말이 필요없는 감동 최고의 노래와 맞물린 최고의 영화중 하나
58,듄,https://movie.naver.com/movie/point/af/list.naver?st=mcode&sword=191559&target=after,8,한번도 본 적 없는 사운드와 비주얼
59,아네트,https://movie.naver.com/movie/point/af/list.naver?st=mcode&sword=206657&target=after,10,쿠키영상 있다고 합니다. 못보고 나와서 아쉽네요.
60,듄,https://movie.naver.com/movie/point/af/list.naver?st=mcode&sword=191559&target=after,10,160분이 순식간에 지나갑니다. 압도되는 화면 압도되는 분위기.2023년까지 2편만 기다리며 살아갈 것 같아요.
61,베놈 2: 렛 데어 비 카니지,https://movie.naver.com/movie/point/af/list.naver?st=mcode&sword=187323&target=after,8,"베놈1 안 봤고 '베놈'에 대해서 1도 모르고 본 입장에서 괜찮았어요. 작품에 대한 호불호는 있을 것 같아요. 그런데 저는 재관람을 고민할 정도로 좋았어요. 스토리나 연출에서 아쉬운 점은 있어요. 그래도 '히어로의 시대는 끝났다.', '악을 악으로 처단할 것인가.' 등의 카피만으로 이미 충분히 제 마음을 사로잡았어요."
62,당신은 믿지 않겠지만,https://movie.naver.com/movie/point/af/list.naver?st=mcode&sword=195444&target=after,1,내용이 감동인지 개그인지 모르겠네요.그래도 보려고 하신다면 기대는 하지말고 보세요.
